Package,OpenSSF_SS,OpenSSF_RS,Custom_SC,Custom_RS,Snyk_SC,Snyk_RS,Id,Label,Degree,Pageranks,Eigencentrality,In_reach,Avg_RS
webassets,2.14,7.86,0.624786137,6.24786137,64,3.6,7393,webassets-0.12.1,3,5.20E-05,0.00144,1,5.902620457
bumpversion,2.05,7.95,0.637802698,6.37802698,64,3.6,4249,bumpversion-0.5.3,2,3.90E-05,0.00091,1,5.976008993
uplink,2.05,7.95,0.679523067,6.79523067,64,3.6,3292,uplink-0.9.7,5,7.90E-05,0.00091,30,6.11507689
pdfrw,1.95,8.05,0.768291596,7.68291596,64,3.6,3989,pdfrw-0.4,3,6.50E-05,0.00137,1,6.44430532
korean-lunar-calendar,1.89,8.11,0.683837011,6.83837011,64,3.6,1088,korean-lunar-calendar-0.3.1,2,5.80E-05,0.00107,1,6.182790037
jsonfield,1.89,8.11,0.881993421,8.81993421,64,3.6,3871,jsonfield-3.1.0,2,3.90E-05,0.00046,5,6.843311403
ndg-httpsclient,1.7,8.3,0.64077686,6.4077686,64,3.6,1619,ndg-httpsclient-0.5.1,9,6.00E-05,0.00237,13,6.102589533
mercantile,1.65,8.35,0.750732099,7.50732099,64,3.6,2320,mercantile-1.2.1,2,3.90E-05,0.0005,2,6.485773663
hyperopt,0,10,0.671641247,6.71641247,64,3.6,1968,hyperopt-0.2.7,16,7.60E-05,0.00368,40,6.77213749
aiohttp-cors,0,10,0.632374749,6.32374749,64,3.6,366,aiohttp-cors-0.7.0,10,6.40E-05,0.00349,35,6.641249163
intervaltree,0,10,0.770199567,7.70199567,64,3.6,899,intervaltree-3.1.0,5,6.60E-05,0.00196,2,7.100665223
odfpy,0,10,0.63417374,6.3417374,64,3.6,1426,odfpy-1.4.1,2,3.90E-05,0.00055,2,6.6472458
scikit-optimize,0,10,0.585938872,5.85938872,64,3.6,1602,scikit-optimize-0.9.0,11,4.60E-05,0.00185,16,6.486462907
httpretty,0,10,0.717177621,7.17177621,64,3.6,2125,httpretty-1.1.4,2,4.60E-05,0.00091,1,6.923925403
gnupg,0,10,0.589732133,5.89732133,64,3.6,5343,gnupg-2.3.1,1,3.50E-05,0,2,6.49910711
ptvsd,0,10,0.562451143,5.62451143,64,3.6,1456,ptvsd-4.3.2,1,3.70E-05,0.00046,1,6.408170477
graphql-server-core,0,10,0.765123844,7.65123844,64,3.6,5148,graphql-server-core-1.2.0,3,5.50E-05,0.0005,5,7.083746147
polyglot,0,10,0.755000573,7.55000573,64,3.6,10300,polyglot-16.7.4,1,3.80E-05,0.00046,1,7.05000191
clvm-tools,4.62,5.38,0.773214659,7.73214659,65,3.5,5032,clvm-tools-0.4.6,3,4.10E-05,0.00046,5,5.537382197
pyerfa,4.59,5.41,0.611799076,6.11799076,65,3.5,831,pyerfa-2.0.0.3,7,0.000177,0.00465,4,5.009330253
stone,4.11,5.89,0.660629153,6.60629153,65,3.5,4700,stone-3.3.1,3,5.40E-05,0.0005,3,5.332097177
nbval,3.97,6.03,0.63258141,6.3258141,65,3.5,499,nbval-0.10.0,6,4.10E-05,0.00076,64,5.285271367
tatsu,3.84,6.16,0.678310816,6.78310816,65,3.5,2470,tatsu-5.8.3,3,5.50E-05,0.00142,1,5.481036053
fs,3.78,6.22,0.837003193,8.37003193,65,3.5,2895,fs-2.4.16,10,0.000205,0.00422,4,6.030010643
bitstruct,3.76,6.24,0.790316397,7.90316397,65,3.5,1252,bitstruct-8.17.0,2,5.70E-05,0.00103,1,5.881054657
pandas-flavor,3.76,6.24,0.78392787,7.8392787,65,3.5,3767,pandas-flavor-0.5.0,5,4.20E-05,0.00096,103,5.859759567
cwcwidth,3.76,6.24,0.808972105,8.08972105,65,3.5,10109,cwcwidth-0.1.5,2,7.00E-05,0.00096,1,5.94324035
markdownify,3.59,6.41,0.63779794,6.3779794,65,3.5,996,markdownify-0.10.3,3,3.90E-05,0.00046,5,5.429326467
torch-optimizer,3.51,6.49,0.680294052,6.80294052,65,3.5,12476,torch-optimizer-0.3.0,3,4.00E-05,0.00046,65,5.59764684
ifaddr,3.05,6.95,0.615885365,6.15885365,65,3.5,2578,ifaddr-0.1.7,5,8.80E-05,0.00258,1,5.53628455
doit,3.05,6.95,0.721281804,7.21281804,65,3.5,8580,doit-0.36.0,3,3.70E-05,0.00046,5,5.887606013
srt,2.97,7.03,0.731817321,7.31817321,65,3.5,12539,srt-3.5.3,1,4.20E-05,0.00046,1,5.94939107
flask-debugtoolbar,2.46,7.54,0.758405984,7.58405984,65,3.5,7962,flask-debugtoolbar-0.13.1,5,3.60E-05,0.00048,12,6.208019947
cement,2.14,7.86,0.738301182,7.38301182,65,3.5,1731,cement-3.0.8,2,5.20E-05,0.00091,1,6.247670607
