,Id,Label,Degree,Pageranks,Eigencentrality,Reachability,Log2_reach,R_Reachability,R_Log2_reach,RiskScore,Category,PR_Category,R_Category,R_Lo10_reach
13,13,pyparsing-3.0.9,74,0.002492,0.05472,1,0,1832,14.33920379,0.573270314,H,T,D,18.32
16,16,numpy-1.21.6,33,0.001736,0.064446,1,0,1747,14.27066389,0.260893907,L,T,D,17.47
21,21,numpy-1.22.1,20,0.001408,0.050323,1,0,1692,14.22451385,0.260893907,L,T,D,16.92
68,68,brotli-1.0.9,19,0.000415,0.01508,1,0,1545,14.09339112,0.568848542,H,T,D,15.45
228,228,lxml-4.9.2,291,0.003007,0.13769,1,0,1485,14.03624722,0.266529022,L,T,D,14.85
184,184,pyyaml-6.0,630,0.006842,0.3076,1,0,1481,14.03235593,0.582502359,H,D,D,14.81
25,25,tzdata-2023.3,5,0.000998,0.021274,1,0,1436,13.98784003,0.744991043,H,T,D,14.36
51,51,numpy-1.22.3,21,0.001149,0.03666,1,0,1423,13.97471995,0.260893907,L,T,D,14.23
2564,2564,pyparsing-3.0.6,3,0.00029,0.00265,1,0,1401,13.95224124,0.573270314,H,T,D,14.01
2565,2565,pyparsing-3.0.8,3,0.00029,0.00265,1,0,1401,13.95224124,0.573270314,H,T,D,14.01
20,20,packaging-21.3,32,0.00089,0.035557,4,2,1400,13.95121111,0.593759389,H,T,D,14
143,143,click-8.1.3,587,0.007014,0.28405,1,0,1399,13.95018025,0.786075881,H,D,D,13.99
50,50,numpy-1.22.2,6,0.000871,0.02258,1,0,1397,13.94811631,0.260893907,L,T,D,13.97
12,12,pillow-9.5.0,268,0.002966,0.143346,1,0,1383,13.93358544,0.390081507,L,T,D,13.83
27,27,scipy-1.10.1,819,0.006276,0.396154,8,3,1365,13.91468524,0.337577653,L,D,D,13.65
249,249,typing-extensions-4.5.0,267,0.004811,0.14449,1,0,1338,13.8858624,0.658811077,H,T,D,13.38
3,3,pandas-2.0.0,849,0.006316,0.40139,11,3.459431619,1329,13.87612539,0.820746042,H,D,D,13.29
413,413,appdirs-1.4.4,113,0.000923,0.05338,1,0,1294,13.8376219,0.888058864,H,T,D,12.94
63,63,attrs-23.1.0,90,0.001288,0.05565,1,0,1243,13.77961058,0.827546126,H,T,D,12.43
148,148,markupsafe-2.1.2,39,0.002057,0.02799,1,0,1227,13.76091953,0.855779958,H,T,D,12.27
69,69,attrs-22.2.0,93,0.001203,0.05659,1,0,1176,13.69967234,0.827546126,H,T,D,11.76
149,149,markupsafe-2.0.1,15,0.001052,0.01474,1,0,1130,13.64210706,0.855779958,H,T,D,11.3
6,6,contourpy-1.0.7,9,0.000294,0.016168,7,2.807354922,1119,13.62799432,0.805287543,H,T,D,11.19
2895,2895,fs-2.4.16,10,0.000205,0.00422,4,2,1108,13.61374217,0.837003193,H,T,D,11.08
2072,2072,unicodedata2-15.0.0,2,0.000154,0.0018,1,0,1099,13.60197567,0.685328127,H,T,D,10.99
3026,3026,zopfli-0.2.2,1,0.000148,0.00135,1,0,1099,13.60197567,0.703968313,H,T,D,10.99
8,8,fonttools-4.39.3,29,0.000665,0.026256,9,3.169925001,1098,13.60066234,0.547940771,H,T,D,10.98
19,19,pillow-8.4.0,13,0.000406,0.02144,1,0,1094,13.59539702,0.390081507,L,T,D,10.94
9,9,kiwisolver-1.4.4,14,0.000342,0.021345,1,0,1086,13.58480839,0.595092828,H,T,D,10.86
7,7,cycler-0.11.0,12,0.000319,0.020275,1,0,1078,13.57414146,0.759591482,H,T,D,10.78
1,1,matplotlib-3.7.1,655,0.004566,0.303955,28,4.807354922,1064,13.55528244,0.396813469,L,T,D,10.64
151,151,babel-2.12.1,35,0.000848,0.02388,1,0,1056,13.54439412,0.815605004,H,T,D,10.56
150,150,markupsafe-2.1.1,9,0.000814,0.01089,1,0,1050,13.53617361,0.855779958,H,T,D,10.5
145,145,jinja2-3.1.2,268,0.002919,0.13594,5,2.321928095,1023,13.49859043,0.785435104,H,T,D,10.23
